"","SPY213513","SPY213520","SPY213515","SPY213512","SPY213516","SPY213514","SPY213517","SPY202505","SPY202519","SPY202520","SPY213519","SPY213527","SPY213523","SPY213525","SPY213518","SPY213521","SPY213522"
"Anguilla sp.",1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1
"Conger conger",0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1
"Muraena helena",0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"Atherina boyeri",0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1
"Belone belone",0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1
"Aidablennius sphynx",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"Lipophrys trigloides",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1
"Parablennius gattorugine",0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1
"Parablennius incognitus",0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0
"Parablennius pilicornis",0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1
"Parablennius sp.",1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1
"Salaria pavo",1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1
"Tripterygion delaisi",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tripterygion melanurum",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tripterygion tripteronotum",0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Seriola dumerili",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
"Trachurus sp.",0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"Alosa sp.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
"Sardina pilchardus",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"Sardinella aurita",0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0
"Sprattus sprattus",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"Engraulis encrasicolus",0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
"Engraulis sp.",1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
"Rutilus rutilus",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Gambusia holbrooki",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Merlangius merlangus",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Trisopterus capelanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Gaidropsarus mediterraneus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Merluccius merluccius",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Aphia minuta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Gobius ater",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
"Gobius bucchichi",1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
"Gobius cobitis",1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1
"Gobius cruentatus",0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0
"Gobius niger",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Gobius xanthocephalus",0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0
"Millerigobius macrocephalus",0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
"Odondebuenia balearica",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Pomatoschistus minutus",1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
"Zebrus zebrus",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Zosterisessor ophiocephalus",0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
"Istiophorus albicans",0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
"Xiphias gladius",0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0
"Apogon imberbis",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Coris julis",0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0
"Ctenolabrus rupestris",0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
"Labrus sp.",0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1
"Symphodus bailloni",0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
"Symphodus ocellatus",0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"Symphodus sp.",0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1
"Symphodus tinca",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"Thalassoma pavo",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lophius budegassa",0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
"Lophius piscatorius",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Chelon auratus",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"Chelon labrosus",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Chelon ramada",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"Liza sp.",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"Mugil sp.",0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1
"Oedalechilus labeo",0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
"Myctophum punctatum",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Sander sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Scorpaena notata",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Scorpaena porcus",0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1
"Scorpaena scrofa",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Anthias anthias",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Epinephelus marginatus",0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"Serranus cabrilla",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"Serranus hepatus",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
"Serranus scriba",0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0
"Chelidonichthys lucernus",0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1
"Triglidae",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Scophthalmus rhombus",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"Pegusa nasuta",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"Solea senegalensis",1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
"Solea solea",0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
"Salmo salar",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Pomatomus saltatrix",1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0
"Auxis sp.",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Euthynnus alletteratus",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Sarda sarda",1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Scomber colias",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Scomber scombrus",0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1
"Thunnus thynnus",0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1
"Spicara sp.",0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0
"Boops boops",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Diplodus annularis",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Diplodus puntazzo",0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1
"Diplodus sargus",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Diplodus vulgaris",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Lithognathus mormyrus",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"Oblada melanura",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Pagellus acarne",0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1
"Pagellus bogaraveo",1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0
"Pagellus erythrinus",0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1
"Sarpa salpa",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
"Sparidae",1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0
"Sparus aurata",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"Spondyliosoma cantharus",0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"Mullus barbatus",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Mullus surmuletus",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Syngnathus acus",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Syngnathus sp.",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"Balistes capriscus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Zeus faber",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Dicentrarchus labrax",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Chromis chromis",0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0
"Sciaena umbra",0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"Sphyraena viridensis",0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0
"Mustelus mustelus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Raja sp.",1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0
"Torpedo marmorata",1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1
